name,id,desciption,category,buyprice,sellprice,marketvalue,circulation
Fitted Shirt ,967,"Everyone looks good in a fitted white shirt. With extra tailoring applied around the chest and waist area, it will enable you to show off your pecks, bosoms or man-boobs in all their spectacular glory. Just don't spill gravy on it.",Clothing,$0 ,$0 ,"$3,399,999 ","2,828"
Bow Tie ,968,"If you're attending a fancy dinner and want to look smart, or you want to dress like a 12-year-old chess prodigy whose parents pushed him so hard he is unable to form meaningful friendships in adulthood, the Bow Tie is the perfect accessory. This one is made from red silk, and should be paired with a red pocket square and a smug, condescending outlook toward your peers.",Clothing,$0 ,$0 ,$0 ,"2,880"
Neck Tie ,969,"This red neck tie screams authority. The minute you sport this bad boy to the office everyone will stop to listen to you, even if you have nothing useful to say. Made from pure silk, this tie can also be used as an emergency bandana.",Clothing,$0 ,$0 ,"$1,549,999 ","2,898"
Waistcoat ,970,"Gray waistcoats are most commonly spotted at weddings and christenings, given that they serve no useful purpose other than to make you feel slightly warmer than you ought to be. This one comes with a decorative pocket, which tells others that you could have pockets if you wanted, but you have chosen a wiser path.",Clothing,$0 ,$0 ,"$899,997 ","2,783"
Blazer ,971,"Blazers are a multipurpose item which can be worn by everyone from business bros and bridegrooms through to schoolboys and boat jerks. Team this dark gray blazer with a pair of blue jeans for that ultimate ""poor guy cosplaying a rich guy"" look.",Clothing,$0 ,$0 ,"$2,774,993 ","3,007"
Suit Trousers ,972,"Unless you're one of those kilt-wearing berks who thinks they're Scottish because their uncle once visited Aberdeen, black suit trousers are the most formal form of legwear mankind has thus far invented. These particular trousers would work well for someone attending a job inteview, visiting a funeral, appearing in court, or dressing up as the guy from Hitman.",Clothing,$0 ,$0 ,"$4,249,998 ","2,936"
Derby Shoes ,973,"Derby Shoes were once worn by hunters and sportsmen, but today they are suitable for occasions both formal and informal. The Derby is an open laced shoe, meaning the quarters are sewn on top of the vamp, which makes them easy to put on. If you neither know nor care what that means, you may be interested to learn that the Derby was invented for the 19th Century Earl of Derby, who was so fat he had trouble putting his regular shoes on. And if that isn't a legacy, I don't know what is.",Clothing,$0 ,$0 ,"$2,899,998 ","2,814"
Smoking Jacket ,974,"Smoking Jackets were designed in the 19th Century for men who wanted to enjoy tobacco without their clothes smelling absolutely rank. The most iconic colorway for a Smoking Jacket is Burgundy and Black, with silk or velvet the preferred material. Famous aficionados of the garment include Fred Astaire, Hugh Hefner, and 2006 Playmate of the Year Saddam Hussein.",Clothing,$0 ,$0 ,"$13,999,990 ",743
Monocle ,975,"Consisting of a circular lens within a wire frame attached to a short string or chain, the Monocle is a piece of corrective eyewear used to enhance your vision in one single eye. With the advancements of modern optometry and the death of Patrick Moore, the monocle has now been rendered obsolete.",Clothing,$0 ,$0 ,"$34,200,000 ",360
Bronze Microphone ,976,"Nobody remembers those who came in third place in any event ever, not even their families and friends. But this bronze microphone trophy will change that, given as it is to those who were deemed not good enough for second place in a Torn singing competition.",Collectible,$0 ,$0 ,$0 ,46
Silver Microphone ,977,"If you're second in the Olympic 100 metres this is often a temporary scenario, as you'll likely be bumped up to first ten years later when a random drug test eliminates the victor. We can't promise that will happen with Torn's singing competitions though, so you'll have to make do with this silver microphone trophy instead.",Collectible,$0 ,$0 ,$0 ,42
Gold Microphone ,978,"This ownership of this golden microphone trophy indicates that you have achieved one of two things; either you won a Torn singing competition due to your fantastic musical abilities, or you bought the trophy off the item market to pretend you've achieved something.",Collectible,$0 ,$0 ,$0 ,31
Paint Mask ,979,"Would you like to avoid huffing half a gallon of paint into your lungs while repainting the spare bedroom? Then this Paint Mask is the product for you, as its particulate cotton filters ensure your airways are free from both fumes and droplets. WARNING: Does not protect against airborne viruses.",Enhancer,$0 ,$0 ,"$465,940 ","76,836"
Ladder ,980,"Ladders were traditionally used to help people avoid snakes, but these days they have all sorts of uses; scaling a tree to retrieve a cat, peeping into your neighbor's bedroom window late at night to look at their cat, and gaining entry to the Ladder Owners Club of Torn. This ladder is made from flimsy aluminium and has been described as ""a death trap"" by online reviewers.",Tool,$0 ,$0 ,"$5,054 ","267,137"
Wire Cutters ,981,"The sharp steel blades of these industrial-sized wire cutters are capable of cutting cables up to 1cm thick. You can also cut cables that are not as thick as this, if you so desire. The one thing these cutters cannot be used to cut through is the ground-breaking crime drama The Wire.",Tool,$0 ,$0 ,"$2,701 ","298,166"
Ripped Jeans ,982,"These ripped jeans weren't ripped by a fashion brand to make them appear trendy and distressed. These jeans were ripped by life itself, therefore proving the wearer's commitment to ""keeping it real"". They are made out of 75% denim and 25% human angst.",Clothing,$0 ,$0 ,$0 ,"1,375"
Bandit Mask ,983,"Ever wanted to commit a crime without the victims knowing your identity? You should probably buy something more substantial than this Bandit Mask, then, as it covers approximately one fifth of a regular-sized human face. Even Batman's cowl does more than that.",Clothing,$0 ,$0 ,"$745,000 ","4,848"
Bottle of Moonshine ,984,"Distilled in secret by illegal brewers, this moonshine is far more potent than regular alcohol. Sip slowly, or it'll knock more than your socks off. Provides a very large nerve increase when consumed.",Alcohol,$0 ,$0 ,"$1,001,256 ","269,328"
Can of Goose Juice ,985,Gain the aggressive power of a goose in no time by sinking a can of this highly-concentrated energy drink.,Energy Drink,$0 ,$0 ,"$326,332 ","1,139,651"
Can of Damp Valley ,986,"Infused with rare nutrients found only in the Damp Valley region of Torn, this energy drink will boost both your energy and blood pressure.",Energy Drink,$0 ,$0 ,"$733,802 ","941,190"
Can of Crocozade ,987,"Packed full of glucose, sucrose, pentose and hexose, this super sugary energy drink has a real bite to it.",Energy Drink,$0 ,$0 ,"$1,181,359 ","851,286"
Fur Coat ,988,"Animal rights protestors have labelled this fur coat the cruellest garment of Autumn Winter 2020. Made from 40% fox, 38% mink and 22% miscellaneous fur, this gorgeous coat would suit both a lady of elegance and a bloke in his mid-thirties who thinks he looks like Macklemore.",Clothing,$0 ,$0 ,"$2,433,330 ","2,649"
Fur Scarf ,989,"When you wear a fur scarf it tells others that you like animals too much to wear a full coat of their skin, but not so much that you wouldn't fashion them into an accessory. Constructed from a gorgeous blend of Chinchilla and Madagascan boy fur, this scarf is 100% vegan unfriendly.",Clothing,$0 ,$0 ,"$1,050,000 ","2,655"
Fur Hat ,990,"In Red Dead Redemption 2 you can construct many different types of fur hat out of a range of interesting animals, from grizzlies and wolves through to beavers and racoons. In Torn, you get just one, and it's made from cat hair.",Clothing,$0 ,$0 ,"$1,103,306 ","2,758"
Platform Shoes ,991,"Platform Shoes were popular with both men and women throughout history, and while today they are more commonly seen as a feminine item, discrete platform shoes are still worn by ""short kings"" to disguise their lack of vertical manhood. These dusky pink platforms come with a 100% money back guarantee that you'll sprain your ankle in them within the first 30 days.",Clothing,$0 ,$0 ,"$1,100,000 ","2,580"
Silver Flats ,992,"These Silver Flats are notable for their lack of sole, whereas the music of Ed Sheeran is known for its distinct lack of soul. Made from a mixture of recycled trash and commercial adhesive, Ed Sheeran has sold over 150 million terrible records. This fact has nothing to do with these shoes, which are fine if you like that sort of thing.",Clothing,$0 ,$0 ,"$293,332 ","2,627"
Crystal Bracelet ,993,"Crystal Bracelets are as gaudy as they are shiny. Constructed from reasonable quality silver by Francis Montana, Torn's resident jeweller, this bracelet is studded with white topaz crystals, which are said to improve the wearer's mental clarity - something which much of Torn's populace could benefit from greatly.",Jewelry,$0 ,$0 ,$0 ,"1,302"
Cocktail Ring ,994,"Cocktail Rings are also known as statement rings, given that they are chunky and feature a large, often fake gemstone in their settings. Quite what statement the wearer intends to make is down to you, but given the sheer size of this thing, you'd certainly make an impression if you punched someone in the temple with it.",Jewelry,$0 ,$0 ,"$1,899,898 ","2,653"
Sun Hat ,995,"The Sun Hat is a type of headwear defined by a large brim, with its purpose being to protect the head, neck and shoulders from the sun's rays. You will often find these hats being worn by people who live in Earth's equatorial regions, but they can also be spotted on the heads of English women who think they're posh just because their boyfriend won tickets to the races.",Clothing,$0 ,$0 ,"$409,999 ","2,580"
Square Sunglasses ,996,"Whether you're trying to hide an unsightly bruise or you're just damn sick of the sight of the sun, these Square Sunglasses will keep your peepers behind closed doors and then some! Made from low-grade plastic by a Vietnamese child, these glasses are guaranteed to shatter if you look at them the wrong way.",Clothing,$0 ,$0 ,"$1,392,205 ","2,587"
Statement Necklace ,997,"A necklace is a piece of jewellery worn around the neck. If you were born without a neck, you are prohibited from wearing a necklace. This statement necklace comes studded with rose quartz crystals, which supposedly promote healing, if you believe in all that s***e.",Jewelry,$0 ,$0 ,"$11,590,000 ","1,281"
Floral Dress ,998,"Girls love nothing more than flowers. Not oxygen, not their boyfriends, not even puppy dogs. That's why this Floral Dress is so popular among the fairer sex, given that it has been designed in a floral style. If it had been made with a print of severed horse heads, it wouldn't be nearly as popular.",Clothing,$0 ,$0 ,"$550,495 ","2,599"
Shrug ,1001,"The Shrug is a cropped, cardigan-like garment with short or long sleeves cut in one with the body, often made from knitted wool. This description was the first thing that came up when we googled Shrug. If you ask most people what a Shrug is, they will probably do something expressive with their shoulders.",Clothing,$0 ,$0 ,"$266,663 ","2,704"
Eye Patch ,1002,"Contrary to popular belief, pirates did not wear eye patches because they had lost an eye in battle. Their true purpose was to hide the black eyes often inflicted upon pirates by their ocean bretheren. Relationships between men can often become violent, and this is never more true when you're stuck out at sea with nothing but salty water and rum for lubricant.",Clothing,$0 ,$0 ,$0 ,0
Halloween Basket : Creepy ,1003,"This Creepy Halloween basket has a joyous expression painted on the side, because we all know that the creepiest thing of all is someone who is happy. But you too will be happy, given that this creepy basket provides an extra 5% chance of gaining a treat!",Special,$0 ,$0 ,$0 ,"6,215"
Halloween Basket : Freaky ,1004,"The reason this basket is called Freaky is because we made it look like Lindsay Lohan in Freaky Friday. In real life, she has only two teeth in her mouth. And in Torn City, this basket provides you with two 5% bonuses to your treat collection chance. That's 10% in total, omg!",Special,$0 ,$0 ,$0 ,"6,855"
Halloween Basket : Frightful ,1005,You know this basket is genuinely frightful because it has zigzags for a mouth. That's just pure science right there. And how's this for pure maths? You now get a 15% bonus to your treat collection chance when attacking! How frightfully nice of us.,Special,$0 ,$0 ,$0 ,"6,004"
Halloween Basket : Haunting ,1006,"This basket is more hillbilly than haunting, but I suppose that's quite apt. After all, what's more haunting than the image of a redneck sleeping with his sister? Him sleeping with his mother? Yes, I'll give you that. And we'll also give you an extra 20% in treat collection bonuses too.",Special,$0 ,$0 ,$0 ,"6,175"
Halloween Basket : Shocking ,1007,"This Halloween basket is shocking because we've written vile slurs all over the inside. There's ******, **** and even the S-word in there. I don't even know what the S-word is, but it sounds bad. This basket is now more shocking than Ricky Gervais- who isn't actually that shocking. But do you know what is? The 25% treat bonus this basket brings!",Special,$0 ,$0 ,$0 ,"7,888"
Halloween Basket : Terrifying ,1008,"If you want to be terrified just look at your bank balance! Oh my god I'm just slaying tonight. And you will be too with this Terrifying Halloween Basket, which provides its bearer with 30% in treat collection bonuses. Now you'll have more treats than ever, and you can stop selling your underwear online to pay your bills.",Special,$0 ,$0 ,$0 ,"7,549"
Halloween Basket : Horrifying ,1009,"This basket looks like it's in pain, and pain is quite horrifying, so I've heard. If you've never felt pain before, why not try stabbing yourself in the arm with a butter knife? Or, alternatively, stab someone else while holding this basket, because you'll get a 35% treat collection bonus if you do!",Special,$0 ,$0 ,$0 ,"4,645"
Halloween Basket : Petrifying ,1010,"What's the difference between petrified and horrified? We don't know, and nor do we care, so please don't Google it and tell us. Either way, this Petrifying Halloween Basket will give you a 40% extra chance of collecting a treat from someone. And that goes up to 100% if you ask them nicely.",Special,$0 ,$0 ,$0 ,"4,745"
Halloween Basket : Nightmarish ,1011,"This Basket contains your worst nightmares... and candy. Inside you'll find that animal you're scared of, your partner cheating on you with your father, and that time you called the teacher mom in front of the whole class. Oh, and you'll also find that this basket gives you an extra 45% chance of collecting treats!",Special,$0 ,$0 ,$0 ,"3,968"
Blood Bag : Irradiated ,1012,A blood bag filled with irradiated blood. This glow-in-the-dark blood type is found in 100% of people who have just held their thumb up to judge the proximity of a mushroom cloud.,Medical,$0 ,$0 ,"$41,543 ","215,686"
Jigsaw Mask '19 ,1013,Billy the Puppet was used in the Saw films by evil antagonist John Kramer as a means of communicating with his test subjects. Why not wear this Billy mask the next time you're watching a naive young woman try to escape a reverse bear trap?,Clothing,$0 ,$0 ,$0 ,250
Reading Glasses ,1014,Struggling to read that Report on Crime? These Reading Glasses will help restore your eyesight to that of a prepubescent child. And they come with the added bonus of making you look like a very old lady.,Clothing,$0 ,$0 ,"$340,000 ","3,211"
Chinos ,1015,"These lightweight cotton Chinos are perfect for the man who wants to make minimal impact in every room he walks into. Their dark beige color matches the aura of their wearer, and we guarantee that nobody will expect you to be funny or interesting while wearing them.",Clothing,$0 ,$0 ,"$660,100 ","3,194"
Collared Shawl ,1016,"The Collared Shawl is a timeless piece of knitwear which suits both the elderly and the elderly at heart. If you're lucky, you might find butterscotch candies stuck to the inside pocket. If you're unlucky, blood.",Clothing,$0 ,$0 ,"$271,333 ","3,018"
Pleated Skirt ,1017,"Traditionally the preserve of substitute teachers with scant regard for their appearance, the Pleated Skirt has made a comeback in recent years, and can now be seen on people who you'd easily describe as a potential 7/10. This particular skirt is made from Navy Blue flannel, which is exactly as sexy as it sounds - not very.",Clothing,$0 ,$0 ,"$675,667 ","3,129"
Flip Flops ,1018,"Flip Flops are commonly worn at the beach or on holiday, but those of an elderly persuasion are fond of wearing them with a pair of socks underneath. Pensioners probably do this due to the wretched state of their ancient feet, which makes you wonder why they don't just wear a pair of damn shoes instead.",Clothing,$0 ,$0 ,"$376,980 ","3,151"
Bingo Visor ,1019,"This lurid green Bingo Visor is a must-have accessory for any self-respecting douchebag. Whereas they were once sported by old folk who wished to avoid the glare of the bingo hall's halogen lights, Bingo Visors are now often worn by young people at the beach, and that guy from that band called A. Remember them? No, nobody does.",Clothing,$0 ,$0 ,$0 ,770
Cover-ups ,1020,"Too cheap to afford a pair of prescription sunglasses? These cover-ups are an affordable alternative, as they are designed to sit on top of your regular spectacles and protect your peepers from the sun's harmful rays. However, while wearing them, you do run the risk of looking extremely frail, so bear that in mind.",Clothing,$0 ,$0 ,$0 ,"1,571"
Sandals ,1021,"These leather strap Sandals are exactly what the Lord and Saviour Jesus Christ might've worn if he lived today or indeed ever. And speaking of fictional tales, these particular Sandals were purchased in a job lot from the producers of the 2000 movie Gladiator, who used the money to purchase tranquilisers for Russell Crowe at the wrap party.",Clothing,$0 ,$0 ,"$288,378 ","3,215"
Golf Socks ,1022,"Constructed from a poly-cotton elastane blend, these Golf Socks are so durable that the only way you'll get a ""hole in one"" is through a game of Foot Russian Roulette.",Clothing,$0 ,$0 ,"$20,127 ","31,244"
Flat Cap ,1023,"Flat Caps have enjoyed a resurgence lately thanks to their appearance in Peaky Blinders, a crime series covering the exploits of the Shelby crime family whose members are stricken with a disease which forces them to walk in slow motion. Formed from a rounded cap with a short stiff brim, these flat caps are sadly bereft of blades, but you will certainly look sharp wearing one.",Clothing,$0 ,$0 ,$0 ,0
Slippers ,1024,"These neoprene foam Slippers were stolen in bulk from a fancy spa retreat just over the Torn border. Both comfortable and wipe clean, these foot gloves will prevent you stepping on broken glass as you make your way through the kitchen at midnight to grab yourself a beer.",Clothing,$0 ,$0 ,$0 ,412
Bathrobe ,1025,"There's nothing better than sinking into a fluffy white Bathrobe after a nice hot crack bath - which is a lot like a regular bath, except you smoke crack while in the tub. This particular robe is made from the purest white silk, and is modelled on one which Whitney Houston owned.",Clothing,$0 ,$0 ,"$5,500,000 ",404
Party Hat '19 ,1026,"The design of this party hat is generic enough to be suitable for children's birthdays, office shindigs and festive ritual sacrifices. It must be worn at a jaunty angle to demonstrate the full force of your wackiness.",Clothing,$0 ,$0 ,$0 ,"26,128"
Badge : 15th Anniversary ,1027,"This badge celebrates Torn's 15th anniversary. It can be worn to advertise your age, IQ or frequent use of profanities.",Clothing,$0 ,$0 ,$0 ,"26,131"
Birthday Cupcake ,1028,"This looks delicious, and it's reasonably fresh too! Every part of it is edible, including the candle and the paper case... if you're a goat.",Candy,$0 ,$0 ,"$3,703,789 ","40,968"
Strippogram Voucher ,1029,This strippogram voucher entitles the bearer to bestow the gift of a strippogram upon any other person in Torn City. It is a gift that is both classy and arousing in equal measure.,Special,$0 ,$0 ,"$29,055,745 ","16,605"
Dong : Thomas ,1030,"Thomas is a daft little rascal who likes nothing more than chasing squirrels and eating out of garbage cans. But don't get him too excited, because Thomas suffers from severe breathing difficulties which will eventually kill him.",Collectible,$0 ,$0 ,"$63,999,999 ","5,213"
Dong : Greg ,1031,"Unlike the Taco Bell Chihuahua, Greg doesn't like Mexican food. In fact, he doesn't like Mexicans much either. Greg is extremely racist and suspicious of all foreigners. But he does love snuggles.",Collectible,$0 ,$0 ,$0 ,"5,286"
Dong : Effy ,1032,"Despite her prim and proper appearance, Effy is the very definition of a basic bitch. When she's not drinking a whole vat of cooking oil because it smells nice, she can be found chasing sticks down ravines and encroaching on the personal space of complete strangers.",Collectible,$0 ,$0 ,$0 ,"5,234"
Dong : Holly ,1033,"Holly is a mischievous old hound with a thoroughly evil soul. She often breaks out of her home and will lead small children and other dogs out into the middle of a busy road, at which point she will sit back and watch the carnage unfold.",Collectible,$0 ,$0 ,"$50,000,000 ","5,150"
Dong : Jeremy ,1034,"Jeremy loves to laugh, but he rarely does, as he is painfully aware of all the suffering going on in the world - something you can see for yourself by looking into his cold, sad eyes. Because of his perpetually morbid outlook, Jeremy is quite fond of chocolate.",Collectible,$0 ,$0 ,$0 ,"5,353"
Anniversary Present ,1035,This box was given out on Torn's 15th anniversary. It contains roughly 15% of your daily ration of joy.,Supply Pack,$0 ,$0 ,"$344,899,999 ","5,338"
Greta Mask '19 ,1036,"As befits her status as an inspirational, teenage eco-warrior, this mask has been made from 100% non-recyclable, non-sustainable, highly carcinogenic plastics. How dare we!",Clothing,$0 ,$0 ,$0 ,250
Anatoly Mask '19 ,1037,"This lightly irradiated mask of Anatoly Dyatlov from Chernobyl is made from 3.6% graphite, which we found up on the roof, despite Anatoly insisting it definitely wasn't there. Its quality is not great, not terrible, and if you think you can taste metal while wearing this mask, then you're clearly in shock.",Clothing,$0 ,$0 ,$0 ,242
Santa Beard ,1038,"With this big jolly Santa beard strapped to your face, you'll almost have everything you need to impersonate Jolly Saint Nick at your local mall. All you need now is a big red suit, a gut which resembles that of a pregnant manatee, and the rosy red cheeks of someone who is quite clearly suffering from severe alcoholism.",Clothing,$0 ,$0 ,$0 ,999
Bag of Humbugs ,1039,"Bah, Humbug! So sayeth Scrooge McDuck in the 1983 movie Mickey's Christmas Carol. These delicious boiled sweets are flavored with peppermint. Provides a large happiness increase when consumed.",Candy,$0 ,$40 ,"$457,000 ","23,047"
Christmas Cracker ,1040,"Without pain, there can be no joy. This Christmas Cracker item is the epitome of that sentiment, as when you try to pull it with someone else, only one of you will receive a lovely surprise.",Special,$0 ,$0 ,"$786,466 ","41,094"
Special Snowflake ,1041,"This item is given to staff in recognition of the many special snowflakes they have to deal with on a daily basis. Delicate, frosty and prone to melting, Torn's players are just as unique as individual snowflakes, but distinctly less fun to catch on your tongue.",Collectible,$0 ,$0 ,$0 ,29
Concussion Grenade ,1042,"There are two ways to give someone concussion; punch them in the head repeatedly, or lob a Concussion Grenade at them. When your opponent is concussed, they may suffer problems with concentration, memory, balance and coordination.",Temporary,$0 ,$0 ,"$4,299,501 ","7,513"
Paper Crown : Green ,1043,"This paper crown can be found inside a Christmas Cracker, along with a crap joke and an even worse gift. Made of a weird type of laminated tissue paper, these festive hats somehow make you feel like you're still wearing them hours after you've taken them off.",Clothing,$0 ,$0 ,"$450,000 ","12,252"
Paper Crown : Yellow ,1044,"This paper crown can be found inside a Christmas Cracker, along with a crap joke and an even worse gift. Made of a weird type of laminated tissue paper, these festive hats somehow make you feel like you're still wearing them hours after you've taken them off.",Clothing,$0 ,$0 ,"$499,998 ","12,606"
Paper Crown : Red ,1045,"This paper crown can be found inside a Christmas Cracker, along with a crap joke and an even worse gift. Made of a weird type of laminated tissue paper, these festive hats somehow make you feel like you're still wearing them hours after you've taken them off.",Clothing,$0 ,$0 ,"$400,000 ","12,429"
Paper Crown : Blue ,1046,"This paper crown can be found inside a Christmas Cracker, along with a crap joke and an even worse gift. Made of a weird type of laminated tissue paper, these festive hats somehow make you feel like you're still wearing them hours after you've taken them off.",Clothing,$0 ,$0 ,"$495,000 ","12,340"
Denim Shirt ,1047,"Denim Shirts give off a clear signal to everyone around you, and that signal is ""I like jeans so much I want to wear them all over my body"". This particular shirt is made from stretch denim, because let's face it, you haven't been looking after yourself lately.",Clothing,$0 ,$0 ,"$347,710 ","5,179"
Denim Vest ,1048,"When accompanied by a white t-shirt and a set of dog tags, a Denim Vest tells others that while you aren't someone to be messed with, there won't be many consequences if you do. This particular vest is made from denim that is raw and untreated, like your spirit, I guess.",Clothing,$0 ,$0 ,"$379,337 ","4,955"
Denim Jacket ,1049,"Denim Jackets work best when teamed with items that are not made of denim, lest you suffer the ignominy of being seen in double denim. There are many items not made of denim, including cotton t-shirts, woolen overcoats, and PVC onesies to name but a few.",Clothing,$0 ,$0 ,"$341,664 ","5,008"
Denim Jeans ,1050,"Jeans were invented by Steve Jeans in 1992, when a shortage of chinos meant that dads everywhere were rendered pantsless on Saturday afternoons. The denim fabric from which they are made was created in Europe in the 16th Century, which was also when colonialism really started to take off. Coincidence? Yes.",Clothing,$0 ,$0 ,"$946,312 ","5,194"
Denim Shoes ,1051,"If you're trying to build some sort of denim gimp suit, then you'll need this pair of Denim Hi-Tops to go with your Denim Jacket, Denim Vest, Denim Shirt, Denim Trousers and Denim Thong. These shoes are unsuitable for both men and women over the age of 32.",Clothing,$0 ,$0 ,"$752,722 ","4,967"
Denim Cap ,1052,"Denim Caps should be worn backwards for a ""radical"" effect, or front ways for an ""I don't like the sun in my eyes"" vibe. These caps can also be worn sideways at your own risk.",Clothing,$0 ,$0 ,"$332,209 ","5,011"
Bread Knife ,1053,"Whether you're looking to slice open an artisan sourdough or a rival's throat, the Bread Knife allows you to do so with consumate ease. The weapon of choice for Jimmy ""Two-Shins"", this serrated blade will lacerate your opponent and leave them bleeding long after you've slashed them.",Melee,$0 ,$0 ,$0 ,119
Semtex ,1054,"Semtex is a general purpose plastic explosive which can be moulded into all kinds of amusing shapes, if the mood strikes. When fitted with a timer and a detonating cord, this material can be used to explode your target into tiny disappointed pieces.",Temporary,$0 ,$0 ,$0 ,10
Poison Umbrella ,1055,"Considered the weapon of choice for Cold War assassins, this Poison Umbrella is capable of transferring a small poisonous pellet into your opponent. This particular umbrella is wielded by Fernando Maria Fernández, a.k.a. Fingers, and the ingredients in its poison are known only to him.",Melee,$0 ,$0 ,$0 ,220
Millwall Brick ,1056,"The Millwall Brick is an improvised weapon consisting of a simple newspaper rolled up lengthways and folded in half to create a solid club-like edge at one end. It was invented by fans of Millwall Football Club as a way of smuggling a weapon into football grounds, but Arsenal supporters claim they almost invented it first.",Melee,$0 ,$0 ,$0 ,0
Gentleman Cache ,1057,"The Gentleman Cache is a Supply Pack which contains one item from a selection of refined, formal garments considered suitable attire for the opera, the racecourse, or the murder of a prostitute in 19th Century East London.",Supply Pack,$0 ,$0 ,"$3,063,437 ","12,903"
Gold Chain ,1058,"All that glitters is gold, but only shooting stars break the mold. You won't exactly break any molds in this 9 karat Gold Chain, but you will make yourself a target for muggers if you wear this on the streets.",Jewelry,$0 ,$0 ,$0 ,356
Snapback Hat ,1059,"This Snapback Hat comes without one of those douchey silver stickers attached to the brim. We removed it on your behalf, because what are you, twelve?",Clothing,$0 ,$0 ,"$260,332 ","3,003"
Saggy Pants ,1060,"The practice of wearing Saggy Pants is believed to have originated in the US prison system, where belts and braces are prohibited, and prison-issue items are often oversized. Outside of the clink, those who wear this style of trouser do so to show off how clean their underwear is.",Clothing,$0 ,$0 ,$0 ,"1,433"
Oversized Shirt ,1061,"It doesn't matter how fat or thin you are, this Oversized Shirt will always be two sizes too big for you. Made from a revolutionary fabric called Nylong, this shirt adapts to the wearer's physique and stretches without pressure, enabling you to look ""proper street"" from the moment you put it on.",Clothing,$0 ,$0 ,"$680,000 ","2,936"
Basketball Shirt ,1062,"The Torn City Basketball Team is known as The Shivs, and while they haven't played a match in fourteen years, their apparel is still popular among the city's youth. This vest is made from a high-tech breathable fabric known as Pit-Stahp, enabling you to emerge from even the most intense interrogation sweating less than Prince Andrew.",Clothing,$0 ,$0 ,"$370,000 ","2,913"
Parachute Pants ,1063,"If you want to be noticed and / or beaten to a pulp, you could do no better than this pair of gold lamé Parachute Pants. Popularized by MC Hammer in the 1980s, parachute pants were originally made of nylon to allow the wearer to breakdance effectively. These are made from lamé, because who even breakdances anymore?",Clothing,$0 ,$0 ,$0 ,737
Tube Dress ,1064,"A Tube Dress is not a dress in a tube, it is simply a dress that is shaped like a tube - you know, like Pringles, except clothes. Made from viscose and elastine, this pink Tube Dress can be thrown on by women and crossdressers in a matter of seconds, which comes in handy if you need to exit your lover's bedroom window in a pinch.",Clothing,$0 ,$0 ,"$194,980 ","2,953"
Gold Sneakers ,1065,"Jazz up an otherwise forgettable outfit with this pair of snazzy Gold Sneakers! Constructed from coated rubber and canvas, these Gold Sneakers will look like absolute s**t as soon as you scuff them just once, so treat them with care!",Clothing,$0 ,$0 ,$0 ,694
Shutter Shades ,1066,"Remember when Kanye West wore a pair of Shutter Shades in 2007? Like almost everything Yeezy creates, this style was stolen from a 1980's trend, but now you can bring them back in style by sporting a pair of these cheap plastic knock-offs.",Clothing,$0 ,$0 ,$0 ,"1,460"
Silver Hoodie ,1067,"If you've ever wanted to attract an increasing number of magpies to your body then this Silver Hoodie is exactly what you need. Made from cotton flocked with a mixture of PU and Mercury, this hoodie will leave you weak and trembling if you wear it for long enough.",Clothing,$0 ,$0 ,$0 ,"2,902"
Bucket Hat ,1068,"Popular among British festival-goers of the 1990's, the Bucket Hat is a piece of headwear made from thick canvas - three times as thick as Liam Gallagher, actually. This particular Bucket Hat comes in a shade known as Hot Salmon.",Clothing,$0 ,$0 ,$0 ,"2,886"
Puffer Jacket ,1069,"The Puffer Jacket, also known as the Down Jacket, was designed by Australian chemist George Finch for the 1922 Everest expedition. While his design was initially mocked, it eventually fell into favor due to its wind-resistance abilities, and the fact that it makes you look three times as big as you actually are.",Clothing,$0 ,$0 ,"$1,333,333 ","2,893"
Durag ,1070,"Durags, also known as do-rags or du-rags, consist of a simple cloth worn over the head and tied around the back. They are most commonly worn by people of colour who are in the process of developing wave, braided or dreadlocked hairstyles, but they can also be worn by white people who want to look like a weapons-grade bellend.",Clothing,$0 ,$0 ,"$380,000 ","2,942"
Onesie ,1071,"Onesies were once the sole preserve of newborn babies whose parents couldn't be bothered to dress them up properly. But today, the Onesie is now popular as a homewear item, or a streetwear item if you have abandoned the concept of shame.",Clothing,$0 ,$0 ,$0 ,350
Baseball Jacket ,1072,"In the United States, many citizens wear Baseball Jackets to excuse the fact that they are carrying a baseball bat around with them at the time. In Torn, such chicanery is unnecessary, so feel free to sport this retro polyester Baseball Jacket to disguise yourself as a yankee tourist instead.",Clothing,$0 ,$0 ,$0 ,"2,868"
Braces ,1073,"If for some reason you're allergic to belts, then a pair of Braces does just as good a job at holding your trousers up instead. Of course, you wouldn't need either if you'd bought properly fitting trousers in the first place, but until you grow into them, these elasticated black braces will stop you looking like a gangsta rapper.",Clothing,$0 ,$0 ,"$999,999 ","1,400"
Panama Hat ,1074,"Panama Hats are lightweight, brimmed, and typically made of woven straw. They were originally an Ecuadorian invention, but Panama Hat sounds nicer than Ecuador Hat, so everyone just pretends that's where they came from.",Clothing,$0 ,$0 ,"$700,000 ","2,892"
